x	y	precise_y	difference
+2.0000e-02	+9.8020e-01	+9.8020e-01	-9.8013e-07
+2.0100e-02	+9.8010e-01	+9.8010e-01	-9.8494e-07
+2.0200e-02	+9.8000e-01	+9.8000e-01	-9.8974e-07
+2.0300e-02	+9.7991e-01	+9.7990e-01	-9.9454e-07
+2.0400e-02	+9.7981e-01	+9.7981e-01	-9.9934e-07
+2.0500e-02	+9.7971e-01	+9.7971e-01	-1.0041e-06
+2.0600e-02	+9.7961e-01	+9.7961e-01	-1.0089e-06
+2.0700e-02	+9.7951e-01	+9.7951e-01	-1.0137e-06
+2.0800e-02	+9.7942e-01	+9.7941e-01	-1.0185e-06
+2.0900e-02	+9.7932e-01	+9.7932e-01	-1.0233e-06
+2.1000e-02	+9.7922e-01	+9.7922e-01	-1.0281e-06
+2.1100e-02	+9.7912e-01	+9.7912e-01	-1.0329e-06
+2.1200e-02	+9.7902e-01	+9.7902e-01	-1.0377e-06
+2.1300e-02	+9.7893e-01	+9.7893e-01	-1.0425e-06
+2.1400e-02	+9.7883e-01	+9.7883e-01	-1.0473e-06
+2.1500e-02	+9.7873e-01	+9.7873e-01	-1.0521e-06
+2.1600e-02	+9.7863e-01	+9.7863e-01	-1.0569e-06
+2.1700e-02	+9.7853e-01	+9.7853e-01	-1.0616e-06
+2.1800e-02	+9.7844e-01	+9.7844e-01	-1.0664e-06
+2.1900e-02	+9.7834e-01	+9.7834e-01	-1.0712e-06
+2.2000e-02	+9.7824e-01	+9.7824e-01	-1.0760e-06
+2.2100e-02	+9.7814e-01	+9.7814e-01	-1.0808e-06
+2.2200e-02	+9.7805e-01	+9.7804e-01	-1.0856e-06
+2.2300e-02	+9.7795e-01	+9.7795e-01	-1.0903e-06
+2.2400e-02	+9.7785e-01	+9.7785e-01	-1.0951e-06
+2.2500e-02	+9.7775e-01	+9.7775e-01	-1.0999e-06
+2.2600e-02	+9.7765e-01	+9.7765e-01	-1.1047e-06
+2.2700e-02	+9.7756e-01	+9.7756e-01	-1.1095e-06
+2.2800e-02	+9.7746e-01	+9.7746e-01	-1.1142e-06
+2.2900e-02	+9.7736e-01	+9.7736e-01	-1.1190e-06
+2.3000e-02	+9.7726e-01	+9.7726e-01	-1.1238e-06
+2.3100e-02	+9.7717e-01	+9.7716e-01	-1.1286e-06
+2.3200e-02	+9.7707e-01	+9.7707e-01	-1.1333e-06
+2.3300e-02	+9.7697e-01	+9.7697e-01	-1.1381e-06
+2.3400e-02	+9.7687e-01	+9.7687e-01	-1.1429e-06
+2.3500e-02	+9.7678e-01	+9.7677e-01	-1.1476e-06
+2.3600e-02	+9.7668e-01	+9.7668e-01	-1.1524e-06
+2.3700e-02	+9.7658e-01	+9.7658e-01	-1.1572e-06
+2.3800e-02	+9.7648e-01	+9.7648e-01	-1.1619e-06
+2.3900e-02	+9.7638e-01	+9.7638e-01	-1.1667e-06
+2.4000e-02	+9.7629e-01	+9.7629e-01	-1.1715e-06
+2.4100e-02	+9.7619e-01	+9.7619e-01	-1.1762e-06
+2.4200e-02	+9.7609e-01	+9.7609e-01	-1.1810e-06
+2.4300e-02	+9.7599e-01	+9.7599e-01	-1.1858e-06
+2.4400e-02	+9.7590e-01	+9.7590e-01	-1.1905e-06
+2.4500e-02	+9.7580e-01	+9.7580e-01	-1.1953e-06
+2.4600e-02	+9.7570e-01	+9.7570e-01	-1.2000e-06
+2.4700e-02	+9.7560e-01	+9.7560e-01	-1.2048e-06
+2.4800e-02	+9.7551e-01	+9.7550e-01	-1.2095e-06
+2.4900e-02	+9.7541e-01	+9.7541e-01	-1.2143e-06
+2.5000e-02	+9.7531e-01	+9.7531e-01	-1.2191e-06
+2.5100e-02	+9.7521e-01	+9.7521e-01	-1.2238e-06
+2.5200e-02	+9.7512e-01	+9.7511e-01	-1.2286e-06
